epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
108,25579,0.9125,1.96591,0.88716,1.16267,0,0.90361,0.83297,0.89416,0.74041,0.89718,0.82395,0.87687,0.6757,0.90054,1.70809,0.67221,1.12573,0,0.000270483,0.000270483,0.000270483
109,25841.5,0.91269,1.98669,0.89724,1.1627,0,0.90082,0.83535,0.8951,0.74049,0.89487,0.82687,0.87751,0.67635,0.89999,1.70681,0.67202,1.12535,0,0.000263159,0.000263159,0.000263159
110,26056,0.9052,1.96844,0.88608,1.16,0,0.8971,0.83416,0.89515,0.74168,0.90742,0.81921,0.88016,0.67727,0.89687,1.70474,0.66959,1.12271,0,0.000255961,0.000255961,0.000255961
111,26270.3,0.91027,1.96524,0.88443,1.16059,0,0.90289,0.83074,0.89495,0.7428,0.91387,0.81752,0.88053,0.67772,0.8933,1.69983,0.66756,1.12005,0,0.000248891,0.000248891,0.000248891
112,26483.5,0.90484,1.96193,0.88953,1.1569,0,0.90156,0.83326,0.89613,0.74252,0.89983,0.82687,0.88086,0.67912,0.89225,1.69766,0.6666,1.11896,0,0.000241954,0.000241954,0.000241954
113,26781.7,0.90005,1.96223,0.87322,1.15211,0,0.90466,0.83383,0.8959,0.74343,0.89818,0.8282,0.88094,0.67975,0.89179,1.69642,0.6682,1.11858,0,0.000235151,0.000235151,0.000235151
114,26995,0.89578,1.92634,0.86066,1.14961,0,0.90549,0.83152,0.8961,0.74481,0.89875,0.8284,0.88155,0.67968,0.89107,1.69725,0.66755,1.11787,0,0.000228487,0.000228487,0.000228487
115,27236.4,0.90326,1.95817,0.87541,1.15421,0,0.90614,0.83135,0.89671,0.74516,0.89798,0.82948,0.88225,0.68112,0.88965,1.69597,0.66601,1.11667,0,0.000221964,0.000221964,0.000221964
116,27449.7,0.90179,1.95232,0.86411,1.15028,0,0.90536,0.83428,0.89814,0.74575,0.90008,0.83075,0.88291,0.68138,0.88867,1.69269,0.66286,1.11532,0,0.000215585,0.000215585,0.000215585
117,27663.8,0.88948,1.93354,0.85527,1.14839,0,0.90857,0.83536,0.89935,0.7464,0.90268,0.83034,0.88293,0.68107,0.88754,1.69093,0.66162,1.11439,0,0.000209352,0.000209352,0.000209352
118,27965.4,0.90298,1.96565,0.86266,1.15278,0,0.90735,0.84021,0.90054,0.74717,0.90078,0.83537,0.88317,0.6811,0.88657,1.68979,0.65976,1.11359,0,0.000203269,0.000203269,0.000203269
119,28176,0.88711,1.8983,0.84227,1.14603,0,0.9102,0.8385,0.90101,0.74699,0.90081,0.83419,0.88339,0.68161,0.88674,1.68937,0.65839,1.11417,0,0.000197338,0.000197338,0.000197338
120,28386.7,0.8867,1.91443,0.8445,1.14524,0,0.91202,0.84025,0.90138,0.74814,0.90391,0.83743,0.88531,0.68268,0.88615,1.68704,0.65655,1.1138,0,0.000191562,0.000191562,0.000191562
121,28614.4,0.88574,1.91489,0.84121,1.14507,0,0.90761,0.84352,0.90137,0.74824,0.90199,0.83861,0.88538,0.68309,0.88519,1.68453,0.65455,1.11309,0,0.000185942,0.000185942,0.000185942
